designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,x,y,z
Gaia DR3 5853498713190525696,5853498713190525696,217.39232147200883,-62.67607511676666,768.0665391873573,-3781.741008265163,769.4650146478623,0.97145325,8.984749,3.8045802,-21.942726,NOT_AVAILABLE,0,True,True,False,False,False,True,False,2829.3542,5.1373,-0.1806,1.3011,0.0,0.0,0.0,-0.91419442169675,-0.6987602995656218,-2.227079796545109
Gaia DR3 4472832130942575872,4472832130942575872,269.4485025254384,4.739420051112412,546.975939730948,-801.5509783684709,10362.394206546573,1.0848505,8.1939745,2.8336968,-110.46822,NOT_AVAILABLE,0,True,True,False,False,False,True,False,3099.6335,4.764,-0.9072,1.8275,0.0001,0.0,0.0,-0.01711964211974117,-1.7785266344827912,0.14746032174474594
Gaia DR3 762815470562110464,762815470562110464,165.83095967577933,35.948653032660104,392.75294543876464,-580.0570872139048,-4776.588719443488,0.9638494,6.551172,2.2156086,-85.11064,NOT_AVAILABLE,0,True,True,False,False,False,True,False,3511.045,4.8322,-0.1783,2.5453,0.0,0.0,0.0,-1.0057943479955451,0.25392689790428247,0.7522615812189951
Gaia DR3 4075141768785646848,4075141768785646848,282.4587890175222,-23.83709744872712,336.0266016683708,639.367850335873,-193.95792507116096,0.98801184,9.126414,2.8340364,-11.11644,NOT_AVAILABLE,0,False,False,True,False,False,False,False,3117.376,4.776,-0.84,2.9762,0.0002,0.0001,0.0001,0.2162551209401858,-0.9787949663526287,-0.4428866023355313
Gaia DR3 5164707970261890560,5164707970261890560,53.22829341517546,-9.458168216292322,310.5772928005821,-974.758145249517,20.875840089774208,2.7166147,3.465752,1.1402977,,NOT_AVAILABLE,0,False,False,False,False,False,True,False,5002.0435,4.5631,0.1258,3.2179,0.0,0.0,0.0,0.5985019537745314,0.8008582638666899,-0.1665570437807792
Gaia DR3 6553614253923452800,6553614253923452800,346.5039166796005,-35.8471642082214,304.1353692001036,6765.995136250774,1330.2852747179843,0.9320045,6.5220323,2.0982852,8.306988,NOT_AVAILABLE,0,True,True,False,False,False,True,False,3376.0845,4.1558,-0.9754,3.2877,0.0,0.0,0.0,0.7819316660082536,-0.18766865209894457,-0.5809689049243248
Gaia DR3 3796072592206250624,3796072592206250624,176.93768799004127,0.7991199702364985,296.3053079139394,607.2990766811824,-1223.0283548879977,1.0825819,9.601,3.0332584,,NOT_AVAILABLE,0,True,True,False,False,False,True,False,3093.4,5.0554,-0.2009,3.3731,0.0,0.0,0.0,-0.9654578299354409,0.05165042855406301,0.013485635802362755
Gaia DR3 1872046609345556480,1872046609345556480,316.7484792940004,38.76386244649797,285.9949482957812,4164.2086922846665,3249.613883848584,1.2043179,4.766713,1.4625897,-65.97495,NOT_AVAILABLE,0,True,True,False,False,False,True,False,4353.7437,4.6322,0.2244,3.4904,0.0,0.0,0.0,0.5306863088517404,-0.4992463804567378,0.5850625492826043
Gaia DR3 1872046574983497216,1872046574983497216,316.753662752556,38.75607277205679,286.0053518616485,4105.976428209489,3155.9416398273515,0.9611461,5.4506445,1.7153406,-64.593544,NOT_AVAILABLE,0,True,True,True,False,False,True,False,3889.6328,4.548,-0.484,3.4947,0.0003,0.0002,0.0001,0.5301363060186347,-0.4986385628569847,0.5842437257957807
Gaia DR3 2154880616774131840,2154880616774131840,280.6830708352289,59.638357907754816,283.8401180184389,-1311.6790825522846,1792.3245558304384,1.0079373,7.854393,2.4610577,-1.303306,NOT_AVAILABLE,0,True,True,True,False,False,True,False,3352.192,4.8588,-0.1016,3.522,0.0,0.0,0.0,0.08677082343853086,-0.45996650810882184,0.7990472426174917
Gaia DR3 2154880616774131712,2154880616774131712,280.68308624583415,59.635145454818776,283.8377678450057,-1400.263516756894,1862.5251477485456,1.312914,8.524704,2.625472,0.87630755,NOT_AVAILABLE,0,True,True,True,False,False,True,False,3179.6333,4.4099,-1.0413,3.5236,0.0001,0.0001,0.0,0.08673984723632867,-0.4598016263681589,0.7986581768430558
Gaia DR3 385334230892516480,385334230892516480,4.613226257557736,44.02478674398518,280.706821579123,2891.5180773367792,411.8320203661465,1.0384927,7.218567,2.164384,11.367275,NOT_AVAILABLE,0,True,True,True,True,False,True,False,3352.2085,4.0641,-1.4361,3.5625,0.0,0.0,0.0,0.6561661551081504,0.05294632922757875,0.6362623775347995
Gaia DR3 385334196532776576,385334196532776576,4.625300681217554,44.02874451664357,280.6947310460246,2862.7964264973784,336.43190371856457,1.1803766,9.686646,2.8360271,10.603611,NOT_AVAILABLE,0,True,True,True,True,False,True,False,3020.2869,4.6976,-0.7747,3.5638,0.0003,0.0002,0.0001,0.6558718380234877,0.05306170036255479,0.6360757369261675
Gaia DR3 6412595290592307840,6412595290592307840,330.8724078795965,-56.79725466122902,274.8431415216296,3966.660538748413,-2536.1919868044724,1.1482686,4.322904,1.2974195,-40.4267,NOT_AVAILABLE,0,True,True,False,False,False,False,False,4560.303,4.5249,-0.2973,3.6481,0.0,0.0,0.0,0.42766771641729223,-0.23830662649192466,-0.7480802167763123
Gaia DR3 3139847906307949696,3139847906307949696,111.85462844259372,5.209382701706996,264.12689775460655,571.2323467293181,-3691.4865653792745,1.2387705,8.576388,2.7577581,17.353445,NOT_AVAILABLE,0,False,False,False,False,False,True,False,3024.395,4.2393,-0.7638,3.786,0.0,0.0,0.0,-0.3193635414027683,0.7962631985992994,0.07821857000706559
Gaia DR3 4810594479418041856,4810594479418041856,77.9599373502188,-45.0438126993602,254.19859326384577,6491.223339061598,-5708.614150045243,1.1701684,8.063552,2.0266457,245.05313,NOT_AVAILABLE,0,True,True,True,False,False,True,False,3451.8704,4.4062,-1.52,3.9346,0.0,0.0,0.0,0.12217505722513511,0.5728186827944887,-0.5865994176552818
Gaia DR3 2306965202564744064,2306965202564744064,1.3832841523481234,-37.36774402806293,230.09703402875448,5633.438087895326,-2334.7212726520424,1.4012543,7.6824937,2.186049,25.126139,NOT_AVAILABLE,0,True,True,True,False,False,True,False,3355.3533,4.1294,-1.3171,4.3458,0.0,0.0,0.0,0.5962976595540999,0.014399130424860735,-0.45550502777742946
Gaia DR3 1637645127018395776,1637645127018395776,264.1040525731971,68.3334976375916,219.78977211974916,-320.67472432996726,-1269.893286659221,1.2150519,8.02864,2.518117,-28.90487,NOT_AVAILABLE,0,True,True,True,False,False,True,False,3192.2751,4.0126,-1.1643,4.549,0.0,0.0,0.0,-0.027191893679381327,-0.2633126629366173,0.6663280202890381
Gaia DR3 5951824121022278144,5951824121022278144,262.1701639221161,-46.89910489864381,219.64625138839503,572.5684618204186,-880.5826187621278,1.054375,8.336431,2.4648557,-3.370759,NOT_AVAILABLE,0,True,True,False,False,False,True,False,3274.975,4.6084,-0.3825,4.5522,0.0007,0.0005,0.0003,-0.0666934977407272,-0.48499597525617805,-0.5231389788189176
Gaia DR3 2603090003484152064,2603090003484152064,343.3241110018443,-14.266689393516607,214.0379888743159,957.7147312894218,-673.6012364809744,1.3398496,8.875059,2.8092842,-2.085692,NOT_AVAILABLE,1,True,True,True,False,False,False,False,3185.4407,4.7813,-0.0011,4.665,0.0,0.0,0.0,0.6490955819600961,-0.194440308826462,-0.17229678702017076
Gaia DR3 823773494718931968,823773494718931968,152.8329289582321,49.451988897100506,205.31478196510724,-1363.2871863986295,-505.7703588749188,0.94332755,5.9611735,1.7223029,-26.481712,NOT_AVAILABLE,0,True,True,True,False,False,True,False,3978.864,4.5458,-0.0402,4.8722,0.0001,0.0,0.0,-0.3871718000762678,0.19869807392200844,0.5086683324891208
Gaia DR3 778947814402602752,778947814402602752,166.34205974427476,43.53094856108456,203.8875927696954,-4406.469178827325,938.5266266886064,0.9393333,7.912665,2.104178,68.41321,NOT_AVAILABLE,0,True,True,True,False,False,True,False,3382.1968,4.095,-1.4765,4.9055,0.0,0.0,0.0,-0.4684075866105892,0.11382124381490581,0.4579323916905833
